EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,ACALD_flux,ACALDt_flux,ACKr_flux,ACONTa_flux,ACONTb_flux,ACt2r_flux,ADK1_flux,AKGDH_flux,AKGt2r_flux,ALCD2x_flux,ATPM_flux,ATPS4r_flux,Biomass_Ecoli_core_flux,CO2t_flux,CS_flux,CYTBD_flux,D_LACt2_flux,ENO_flux,ETOHt2r_flux,EX_ac_e_flux,EX_acald_e_flux,EX_akg_e_flux,EX_co2_e_flux,EX_etoh_e_flux,EX_for_e_flux,EX_fru_e_flux,EX_fum_e_flux,EX_glc__D_e_flux,EX_gln__L_e_flux,EX_glu__L_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_lac__D_e_flux,EX_mal__L_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,EX_pyr_e_flux,EX_succ_e_flux,FBA_flux,FBP_flux,FORt2_flux,FORti_flux,FRD7_flux,FRUpts2_flux,FUM_flux,FUMt2_2_flux,G6PDH2r_flux,GAPD_flux,GLCpts_flux,GLNS_flux,GLNabc_flux,GLUDy_flux,GLUN_flux,GLUSy_flux,GLUt2r_flux,GND_flux,H2Ot_flux,ICDHyr_flux,ICL_flux,LDH_D_flux,MALS_flux,MALt2_2_flux,MDH_flux,ME1_flux,ME2_flux,NADH16_flux,NADTRHD_flux,NH4t_flux,O2t_flux,PDH_flux,PFK_flux,PFL_flux,PGI_flux,PGK_flux,PGL_flux,PGM_flux,PIt2r_flux,PPC_flux,PPCK_flux,PPS_flux,PTAr_flux,PYK_flux,PYRt2_flux,RPE_flux,RPI_flux,SUCCt2_2_flux,SUCCt3_flux,SUCDi_flux,SUCOAS_flux,TALA_flux,THD2_flux,TKT1_flux,TKT2_flux,TPI_flux
0.1297,2.7797,,0.1004,,7.5354,,,,,,1.7178,,9.6477,100,100,100,100,100,100,0.0,0.0,7.723100116947291e-16,4.82950086734694,4.82950086734694,7.723100116947291e-16,0.0,20.6163486375232,7.535399999999998,0.0,8.39,67.88952365955474,1.294144248608534,-48.60014442833951,4.8295008673469395,69.3890685250464,0.0,0.4425365480055528,0.0,0.0,0.0,-7.5354,48.60014442833951,0.0,1.3557219307283369e-15,-2.7797,0.0,-0.1297,0.0,-9.6477,-8.506066372912825,23.56060879290353,0.0,0.0,2.590990241187393,-34.6945342625232,-4.760768447356229,-0.1004,0.0,1.6221147159090832,0.0,0.0,1.3557219307283369e-15,0.0,2.7797,20.6163486375232,0.0,5.568727233473813e-15,2.37857634392392,0.12970000000000004,0.33091268436920207,0.0,2.921902925556595,0.0,0.0,9.6477,0.0,-23.56060879290353,4.82950086734694,0.0,-1.3524219010682654e-15,0.0,0.0,10.280402127782944,1.2273684461966838,9.108578063543572,48.77271988752319,0.0,-2.590990241187393,34.6945342625232,9.679694682281994,1.6221147159090834,0.0,-0.1355995709647607,-2.3785763439239194,5.568727233473813e-15,-0.4425365480055528,4.760768447356229,0.0,3.138653731447134,0.0,-6.928401565381997e-15,0.0,0.10039999999999766,-0.9302308858998127,-0.9302308858998142,0.0,0.0,20.6163486375232,-20.6163486375232,-0.23152240607606583,0.0,-0.23152240607606597,-0.6987084798237457,1.6221147159090832
,2.2941,,0.2896,0.1063,0.7962,0.1076,0.59,,,1.3384,,,7.6631,100,100,100,100,100,100,1.3384,1.3384,0.10629999999999999,4.150649556834364,4.150649556834364,0.1063,0.0,11.74430259423405,0.7962,0.0,8.39,45.441483533729574,0.8023421657246408,-28.46562796650506,4.150649556834364,45.5817803774216,0.0,1.2550299409301218,0.0,-0.1063,-1.3384,-0.7962,28.46562796650506,0.0,0.0,-2.2941,-0.59,0.0,0.0,-7.6631,-2.6147161555637117,15.81440923850965,0.0,0.0,3.288088638736682,-22.790890188710797,-2.9515761250512558,-0.2896,-0.1076,1.4960102477536994,0.0,0.0,0.0,0.0,2.2941,12.441902594234053,0.59,9.942453151533113e-17,2.4553338208541855,0.0,0.2051588917757906,0.0,3.49324753051247,0.0,0.0,7.6631,0.0,-15.81440923850965,4.150649556834365,0.0,0.0,0.0,0.0,7.039760181632116,2.5932059991047214,2.8089364134972152,33.72987778318755,0.0,-3.2880886387366797,22.790890188710797,5.712967525537173,1.4960102477537,0.0,-0.16448014397355137,-2.455333820854186,0.0,-1.2550299409301229,2.9515761250512558,0.0,1.4555658772975366,0.0,-0.10629999999999999,0.0,0.2896,-0.5767235487228719,-0.5767235487228719,0.1076,0.0,11.851902594234051,-11.74430259423405,-0.14353901344813838,0.0,-0.14353901344813835,-0.43318453527473355,1.4960102477536994
,,,,3.5503,8.693,,,1.24,0.2343,6.161,,7.5683,,100,100,100,100,100,100,6.3953,6.161,3.5503,9.493102918320757,9.493102918320757,3.5503,0.0,24.382526117885636,8.693,0.23429999999999998,8.39,80.50019620278802,1.2715513953425914,-52.0461945954984,9.493102918320757,80.34760805468564,0.0,-5.282405961671725,0.23429999999999998,-3.5503,-6.161,-8.693,52.0461945954984,-0.2343,0.0,0.0,0.0,0.0,-7.5683,0.0,-13.045579009427705,20.212083579731956,0.0,-1.24,8.203084551475918,-40.17380402734281,-4.677656118046829,0.0,0.0,-1.2648121729472748,1.2648121729472752,0.0,0.0,0.0,0.0,24.38252611788564,0.0,0.0,-3.380165074239209,0.0,0.0,7.568299999999999,8.203084551475916,0.0,7.243164308210898,0.0,0.0,-20.212083579731956,9.493102918320757,0.0,0.0,0.0,1.24,17.70745208737343,1.8024527687142538,6.112621261797962,55.96508193679999,0.0,-8.203084551475914,40.17380402734281,4.313023237785719,0.0,0.0,-0.26066803604523126,3.3801650742392093,0.0,5.282405961671724,4.677656118046829,0.0,5.942468290994067,0.0,-3.5503,0.0,0.0,-0.9139911429722549,-0.9139911429722549,0.0,0.0,24.38252611788564,-24.38252611788564,-0.22748054462678974,0.0,-0.22748054462678968,-0.6865105983454652,-1.2648121729472748
1.2173,9.414,0.3646,4.0216,,0.1914,,,,,3.5034,,0.141,,100,100,100,100,100,100,3.5034000000000005,3.5034,0.0,10.086938305095426,10.08693830509543,0.0,-2.753101392961851e-15,8.7327522686186,0.1914,0.0,8.39,64.73177978907107,1.226416500068681,-33.42443263132716,10.086938305095426,62.97114503119575,0.3646,14.086546653229963,0.0,0.0,-3.5034,-0.1914,33.42443263132716,0.0,0.0,-9.414,0.0,-1.2173,-0.141,0.0,19.550914991377855,37.53074098442783,-0.3646,0.0,-6.4054038915745055,-31.485572515597873,-4.511618378802664,-4.0216,0.0,7.330232226846871,0.0,0.0,0.0,0.0,9.414,9.096157543171332,0.0,6.2434538416045,15.92126573733271,1.2173000000000247,0.17259469906756175,0.14099999999999996,-6.232809192507039,0.0,0.0,0.0,6.243453841604499,-37.53074098442783,9.723533030542697,0.36340527455273147,0.3646,0.36340527455273147,0.0,9.45956281772395,0.0,0.0,53.87498748802441,0.0,6.405403891574376,31.485572515597873,11.54330733860556,7.330232226846857,0.0,-5.277569224118581,-15.921265737332714,6.2434538416045,-14.086546653229963,4.511618378802664,2.8186138480441967,0.0,0.0,0.0,0.0,4.0216,3.2807543808203197,-2.9626994607841795,0.0,0.0,9.096157543171332,-8.7327522686186,1.8617453686725518,0.0,1.8617453686725516,1.4190090121477565,7.330232226846871
,0.459,,5.3236,0.134,1.7644,0.1705,,,,,,,,100,100,100,100,100,100,0.0,0.0,0.134,3.9742322768148526,3.9742322768148526,0.134,0.0,5.419911056345024,1.7644,0.0,8.39,21.967470618036813,0.295413124914106,-15.925346762717773,3.974232276814852,22.144739298009146,0.0,-0.47438730947860963,0.0,-0.134,0.0,-1.7644,15.925346762717773,0.0,0.0,-0.459,0.0,0.0,0.0,0.0,-3.40141271422306,9.05435412984208,0.0,0.0,-1.6108286875316369,-11.072369649004573,-1.0867362626215193,-5.3236,-0.1705,9.148346567232331e-17,0.0,0.0,0.0,0.0,0.459,5.5904110563450224,0.0,0.49545769394381856,-0.032449274607106546,0.0,0.07553713604053693,-1.2311308644313103e-16,-1.5352915514910999,0.0,0.0,0.0,0.4954576939438158,-9.05435412984208,3.9742322768148535,0.0,0.0,-4.3302509783637483e-16,0.0,5.588783169720405,0.0,0.001627886624616937,16.55432824166412,0.0,1.6108286875316367,11.072369649004573,4.947381586367938,0.0,0.0,-0.5560173845512102,0.032449274607106546,0.4954576939438159,0.47438730947861,1.0867362626215193,0.0,1.0867362626215227,0.0,-0.134,0.0,5.323600000000001,0.11796217510761774,-0.3774955188362005,0.1705,0.0,5.5904110563450224,-5.419911056345024,0.11230315660080499,0.41712865023247275,0.11230315660080498,0.0056590185068127845,9.148346567232331e-17
,0.3252,,0.1205,,,0.1666,,,0.2965,2.6383,,0.7563,,100,100,100,100,100,100,2.9348,2.6383,0.0,2.5437757310287363,2.5437757310287363,0.0,0.0,3.1407711541431946,0.0,0.2965,8.39,15.122039446698354,0.14765462682875327,-6.346683527988993,2.543775731028736,14.539860027824545,0.0,0.0369983837653103,0.2965,0.0,-2.6383,0.0,6.346683527988993,-0.2965,0.0,-0.3252,0.0,0.0,-0.7563,0.0,0.995651814184787,5.16275889166037,0.0,0.0,0.7074688508281739,-7.269930013912271,-0.5431770757149347,-0.1205,-0.1666,0.1783279426934391,0.0,0.0,0.0,0.0,0.3252,3.3073711541431945,0.0,0.0,0.25788970550112517,0.0,0.0,0.7562999999999998,-0.011075861091713773,0.7185447119198877,0.0,0.0,0.0,-5.16275889166037,2.5437757310287363,0.0,0.0,0.0,0.0,3.172439385805165,0.0,0.13493176833803017,11.23248887368135,0.7440019254127377,-0.707468850828174,7.269930013912271,0.1623557414575373,0.1783279426934391,0.0,-0.03026919849989442,-0.2578897055011252,0.0,-0.03699838376531029,0.5431770757149347,0.0,0.36484913302149563,0.0,0.0,0.0,0.1205,-0.10613414576450803,-0.10613414576450801,0.1666,0.0,3.3073711541431945,-3.1407711541431946,-0.02641541273966405,0.0,-0.026415412739664048,-0.07971873302484399,0.1783279426934391
,2.4523,,,,1.5766,,0.3902,,,1.773,,5.7668,,100,100,100,100,100,100,1.7730000000000001,1.773,0.0,4.429373493454051,4.429373493454052,0.0,0.0,11.01004702684647,1.5766,0.0,8.39,45.00465884644279,0.7069482497057956,-26.453063759645023,4.429373493454051,43.344121776320314,0.0,1.9677248862472143,0.0,0.0,-1.773,-1.5766,26.453063759645023,0.0,0.0,-2.4523,-0.3902,0.0,-5.7668,0.0,-1.2858181109017408,10.368757589801918,0.0,0.0,7.678752584004238,-21.672060888160154,-2.6006505261927124,0.0,0.0,1.7490985760176454,0.0,0.0,0.0,0.0,2.4523,11.40024702684647,0.39019999999999994,0.0,3.0253194678070834,0.0,0.0,5.7668,2.092719251454009,5.586033332550228,0.0,0.0,0.0,-10.368757589801918,4.429373493454052,0.0,0.0,0.0,0.0,6.544029881378463,0.0,4.856217145468007,32.334074749473835,2.168258788033934,-7.678752584004235,21.672060888160154,5.305874143701431,1.7490985760176456,0.0,-0.1449243911896881,-3.0253194678070834,0.0,-1.9677248862472143,2.6006505261927124,0.0,0.8515519501750652,0.0,0.0,0.0,0.0,-0.5081544018885258,-0.5081544018885258,0.0,0.0,11.01004702684647,-11.01004702684647,-0.12647304187236683,0.0,-0.12647304187236683,-0.38168136001615904,1.7490985760176454
,0.7149,4.3254,,0.1033,,,5.2658,1.0507,,,,,,100,100,100,100,100,100,0.0,0.0,0.1033,5.547242275747511,5.547242275747511,0.1033,0.0,5.040805279749324,0.0,0.0,8.39,33.19220432648748,0.4694012382965872,-22.762595603669592,5.54724227574751,31.80684166414982,4.3254,-0.5202335642555131,0.0,-0.1033,0.0,0.0,22.762595603669592,0.0,0.0,-0.7149,-5.2658,0.0,0.0,0.0,-7.64551115977044,14.599601983917257,-4.3254,-1.0507,-2.5595510721836296,-15.903420832074909,-1.7267863353216535,0.0,0.0,0.2479865882663845,0.0,0.0,0.0,0.0,0.7149,10.306605279749324,5.2658,0.0,0.18199068823618222,0.0,0.12002589663243741,0.0,-2.4395251755511937,0.0,0.0,0.0,0.0,-14.599601983917257,5.54724227574751,0.0,4.3254,0.0,1.0507,7.864721215267293,0.0,3.4925840644820303,26.766036384400493,0.48498877227423415,2.559551072183631,15.903420832074909,7.20316423663546,0.24798658826638484,0.0,-0.09622725385080037,-0.18199068823618222,0.0,0.5202335642555131,1.7267863353216535,0.0,1.4787997470552707,0.0,-0.1033,0.0,0.0,-0.33740561008758685,-0.33740561008758685,0.0,0.0,5.040805279749324,-5.040805279749324,-0.08397588153125943,0.0,-0.08397588153125941,-0.2534297285563274,0.2479865882663845
,0.3997,,0.1185,,,0.3713,,0.3188,,,8.4119,1.6563,0.9874,100,100,100,100,100,100,0.0,0.0,0.0,1.552913189004339,1.552913189004339,0.0,0.0,3.990394805311939,0.0,0.0,8.39,17.89968568046174,0.1911376250740576,-10.598642796160958,1.552913189004339,16.984237175625665,0.0,0.005356964154843225,0.0,0.0,0.0,0.0,10.598642796160958,0.0,0.0,-0.3997,0.0,0.0,-1.6563,-0.9874,-2.9518792410143924,4.2386657122504054,0.0,-0.3188,3.257764757996183,-8.492118587812831,-0.703137981359944,-0.1185,-0.3713,0.20957540433883495,0.0,0.0,0.0,0.0,0.3997,4.361694805311939,0.0,-4.458768528293532e-33,0.29129885126563276,0.0,0.0,1.6562999999999997,1.6503386487276204,1.6074261092685629,0.0,0.9874000000000002,0.0,-4.2386657122504054,1.552913189004339,0.0,0.0,0.0,0.3188,2.3879813607452585,0.0,2.2925134445666813,12.622542370313727,3.005643416596327,-3.257764757996183,8.492118587812831,2.2692587802568918,0.20957540433883495,0.0,-0.0391832131401822,-0.29129885126563276,0.0,-0.005356964154843225,0.703137981359944,0.0,0.49356257702110545,0.0,0.0,0.0,0.11850000000000001,-0.13738972490323395,-0.13738972490323395,0.3713,0.0,4.361694805311939,-3.990394805311939,-0.03419452112574928,0.0,-0.03419452112574927,-0.10319520377748471,0.20957540433883495
,9.265,,4.0391,,,,0.5487,0.1451,1.5325,,0.8722,0.305,,100,100,100,100,100,100,1.5325000000000002,0.0,0.0,8.381272491333396,8.381272491333398,0.0,0.0,7.543876443385301,0.0,1.5325,8.39,56.46504570798687,1.0588525794309942,-30.012499056024346,8.381272491333394,54.910019177888366,0.0,12.362656101137084,1.5325,0.0,0.0,0.0,30.012499056024346,-1.5325,0.0,-9.265,-0.5487,0.0,-0.305,0.0,15.203882743385702,33.06150478563149,0.0,-0.1451,-5.163711345121353,-27.45500958894418,-3.89520098395278,-4.0391,0.0,6.443206711107244,0.0,0.0,0.0,0.0,9.265,8.092576443385301,0.5487,5.3056578843982445,13.94669955996585,0.0,0.0,0.30499999999999994,-5.197962740560832,0.03425139543949474,0.0,0.0,5.305657884398244,-33.06150478563149,8.381272491333396,0.0,0.0,0.0,0.1451,8.2376764433853,0.0,0.0,47.366142734503065,0.0,5.163711345121363,27.45500958894418,10.817140188524865,6.443206711107243,0.0,-5.522722663181598,-13.946699559965849,5.3056578843982445,-12.362656101137082,3.89520098395278,2.035447951617462,0.0,0.0,0.0,0.5125577755369928,4.0391,2.776002022170497,-2.5296558622277474,0.0,0.0,7.543876443385302,-7.543876443385302,1.5791239016725434,0.0,1.5791239016725434,1.1968781204979548,6.443206711107244
