EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_co2_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
0.1297,2.7797,,0.1004,,7.5354,,,,,,1.7178,,9.6477,100,100,100,100,100,100,48.60014442833951,-8.506066372912825,23.56060879290353,2.590990241187393,-34.6945342625232,-4.760768447356229,1.294144248608534
,2.2941,,0.2896,0.1063,0.7962,0.1076,0.59,,,1.3384,,,7.6631,100,100,100,100,100,100,28.46562796650506,-2.6147161555637117,15.81440923850965,3.288088638736682,-22.790890188710797,-2.9515761250512558,0.8023421657246408
,,,,3.5503,8.693,,,1.24,0.2343,6.161,,7.5683,,100,100,100,100,100,100,52.0461945954984,-13.045579009427705,20.212083579731956,8.203084551475918,-40.17380402734281,-4.677656118046829,1.2715513953425914
1.2173,9.414,0.3646,4.0216,,0.1914,,,,,3.5034,,0.141,,100,100,100,100,100,100,33.42443263132716,19.550914991377855,37.53074098442783,-6.4054038915745055,-31.485572515597873,-4.511618378802664,1.226416500068681
,0.459,,5.3236,0.134,1.7644,0.1705,,,,,,,,100,100,100,100,100,100,15.925346762717773,-3.40141271422306,9.05435412984208,-1.6108286875316369,-11.072369649004573,-1.0867362626215193,0.295413124914106
,0.3252,,0.1205,,,0.1666,,,0.2965,2.6383,,0.7563,,100,100,100,100,100,100,6.346683527988993,0.995651814184787,5.16275889166037,0.7074688508281739,-7.269930013912271,-0.5431770757149347,0.14765462682875327
,2.4523,,,,1.5766,,0.3902,,,1.773,,5.7668,,100,100,100,100,100,100,26.453063759645023,-1.2858181109017408,10.368757589801918,7.678752584004238,-21.672060888160154,-2.6006505261927124,0.7069482497057956
,0.7149,4.3254,,0.1033,,,5.2658,1.0507,,,,,,100,100,100,100,100,100,22.762595603669592,-7.64551115977044,14.599601983917257,-2.5595510721836296,-15.903420832074909,-1.7267863353216535,0.4694012382965872
,0.3997,,0.1185,,,0.3713,,0.3188,,,8.4119,1.6563,0.9874,100,100,100,100,100,100,10.598642796160958,-2.9518792410143924,4.2386657122504054,3.257764757996183,-8.492118587812831,-0.703137981359944,0.1911376250740576
,9.265,,4.0391,,,,0.5487,0.1451,1.5325,,0.8722,0.305,,100,100,100,100,100,100,30.012499056024346,15.203882743385702,33.06150478563149,-5.163711345121353,-27.45500958894418,-3.89520098395278,1.0588525794309942
,0.1557,,,4.1591,,0.6239,4.7361,,7.6041,,,1.0852,0.4981,100,100,100,100,100,100,24.2736490779861,-4.119377303859694,22.58692310828341,-1.1170160716607158,-25.235445804356583,-2.553876535508055,0.6942334345035054
0.2385,,,2.516,1.3079,8.5278,,5.8247,,,4.9354,0.3612,9.829,,100,100,100,100,100,100,68.56053943769977,-20.13848127904179,19.490301218903667,10.946453758641987,-48.65622164690716,-5.877194314496035,1.597628051892241
,0.2097,0.1024,,2.1233,,1.2516,,0.1596,2.0134,0.2809,2.6568,,2.4199,100,100,100,100,100,100,13.80040477903093,-3.126128333995839,12.018211036450712,0.5818846191232583,-13.569209653254887,-1.2400064520303884,0.33707735124646826
,9.0737,,,,0.3169,,,6.4893,1.5127,,,0.7392,0.9408,100,100,100,100,100,100,39.73796802914836,8.327430088596808,39.215510715956654,-4.457914332357976,-32.146385598169964,-4.639605431052878,1.2612078807874814
,3.1292,,,,5.8477,1.2751,0.3623,0.4587,,8.0564,,,,100,100,100,100,100,100,31.88678851157618,3.261973532393785,24.686784794695264,-5.205323756602034,-27.505108304158405,-3.511741582932081,0.9546148321233177
,0.1906,1.0881,,,1.6983,,,9.5523,0.1564,2.4664,,,1.3808,100,100,100,100,100,100,33.66507694194862,-12.401162632456273,23.17655355611297,-2.411080753626283,-22.30972423154894,-2.5581704314049776,0.6954006663780566
,3.9047,1.9949,1.0536,6.0257,,0.4742,,,3.9499,2.5347,1.007,6.7063,,100,100,100,100,100,100,39.52792177312921,1.7813582646432986,30.98802591186135,6.558120991752386,-39.17483847254324,-4.6243346404856585,1.2570567430031572
0.3492,,,4.5262,0.4041,,,,,8.5213,1.1862,,0.4501,,100,100,100,100,100,100,14.979697721973267,5.090441210823854,21.590225745708356,-2.0683796727009245,-20.976550905730324,-2.002735116264095,0.5444138190839434
0.3481,8.4197,,,4.6985,,,,0.1124,0.755,3.8938,,,0.1435,100,100,100,100,100,100,27.912531242959837,15.792689819558912,35.894959709639515,-5.565627761121091,-29.219834755901417,-3.8516300423334857,1.047008465581186
,,1.0799,0.7436,,1.3554,0.1246,0.2076,1.8903,,2.8846,,,2.0617,100,100,100,100,100,100,18.91552480257303,-4.476518085549821,12.040055487399595,-0.2831078137145571,-14.942429792039837,-1.581911037322434,0.4300190386066897
,,1.8629,,,0.6266,,0.7374,0.1232,,1.7049,,,,100,100,100,100,100,100,8.603114520209951,-1.5513802781170623,6.945132547233074,-0.8931935722573872,-7.778990054084883,-0.6025878804033188,0.16380457237701498
,7.6371,,,,0.5975,0.8251,,,,1.2338,1.4156,1.9345,,100,100,100,100,100,100,25.951772232337273,11.339270997152298,24.683940135211465,-1.0383762040514484,-23.550912719884245,-3.310732988894494,0.8999736289707025
,,,0.9819,0.48,0.3322,2.308,,,,,,2.431,0.4974,100,100,100,100,100,100,16.647634980124106,-6.56864837098115,6.59537654774244,3.7201753418387815,-12.858737366549388,-1.1058934400634255,0.30062071929306294
0.3001,3.0187,1.3296,,,5.4229,1.4491,,,0.18,2.2892,0.5695,0.2996,0.3163,100,100,100,100,100,100,29.771269753260526,0.2209280363194687,22.126185303996625,-3.5767612919463065,-23.688022702274033,-3.0306781130213585,0.8238448672143315
,8.196,,,0.1525,,2.257,1.6028,,0.9684,,0.9227,0.1467,,100,100,100,100,100,100,27.666582791010455,10.654012852917461,29.566223938856485,-4.822205168713287,-24.74572467489589,-3.4512134562326766,0.9381611591683704
2.979,2.3772,2.5803,,,8.6557,,4.7198,,1.2355,,,0.1293,,100,100,100,100,100,100,49.12802080578346,-3.1804558473996356,32.81469832249337,-6.920134649815509,-35.40133898201369,-4.843091834704414,1.3165226397108856
4.2228,0.1469,0.5656,0.5512,7.8433,,,,,,3.2119,9.4033,9.3757,0.5605,100,100,100,100,100,100,45.635287941178554,-2.5647385144116903,25.37461614484855,12.171678174047022,-40.48367158756495,-4.817109380709643,1.309459695193841
4.4216,3.4229,,1.3898,3.0791,,,3.0335,2.3019,,,,0.6316,0.2985,100,100,100,100,100,100,36.9944653530689,4.868676964609435,32.68511500615967,-4.382715576900421,-29.238783257915106,-4.010365607163964,1.09015837311114
,,6.8902,0.215,,,7.0678,,,0.1415,,0.3206,0.1221,2.4594,100,100,100,100,100,100,31.56500278449495,-11.690809149392496,24.48134010015635,-1.2957517701990444,-25.926412170218438,-2.6981395534461923,0.7334491949455415
,0.5978,,0.2876,,,,0.1635,0.4692,,1.9665,,0.2185,,100,100,100,100,100,100,6.4704993182663895,0.6193016807598698,5.678716624514003,-0.27227219366138433,-6.4176197732451294,-0.4785063854940858,0.13007485945961422
,6.6352,4.4165,,,,2.8277,,,7.936,,1.6859,,0.6863,100,100,100,100,100,100,31.053443433868832,13.360482310549447,43.796591746080566,-6.056302569439912,-35.80288012134507,-4.548857847747681,1.236539497036369
5.3635,,4.7496,0.5778,,0.1296,,4.2248,0.3522,8.7062,,4.8332,0.8657,0.6755,100,100,100,100,100,100,36.32597604607564,8.532868842234754,41.015898727749246,-4.75727156644755,-37.74713188014804,-4.833266934692351,1.3138518864523834
